,Unnamed: 0,mpg(연비),cylinders(실린더수),displacement(배기량),horsepower(출력),weight(차중),acceleration(가속능력),modelYear(출시년도),originNumber(제조국번호),name(모델명)
302,302,31.8,4,85.0,65.00,2020.0,19.2,79,3,datsun 210
295,295,27.4,4,121.0,80.00,2670.0,15.0,79,1,amc spirit dl
307,307,33.5,4,151.0,90.00,2556.0,13.2,79,1,pontiac phoenix
306,306,26.8,6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham
305,305,28.8,6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation
303,303,37.3,4,91.0,69.00,2130.0,14.7,79,2,fiat strada custom
304,304,28.4,4,151.0,90.00,2670.0,16.0,79,1,buick skylark limited
301,301,34.5,4,105.0,70.00,2150.0,14.9,79,1,plymouth horizon tc3
300,300,34.2,4,105.0,70.00,2200.0,13.2,79,1,plymouth horizon
299,299,23.9,8,260.0,90.00,3420.0,22.2,79,1,oldsmobile cutlass salon brougham
297,297,23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado
296,296,25.4,5,183.0,77.00,3530.0,20.1,79,2,mercedes benz 300d
252,252,20.5,6,200.0,95.00,3155.0,18.2,78,1,chevrolet malibu
259,259,18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen
258,258,20.8,6,200.0,85.00,3070.0,16.7,78,1,mercury zephyr
257,257,20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special
256,256,19.4,6,232.0,90.00,3210.0,17.2,78,1,amc concord
255,255,20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare
254,254,25.1,4,140.0,88.00,2720.0,15.4,78,1,ford fairmont (man)
253,253,20.2,6,200.0,85.00,2965.0,15.8,78,1,ford fairmont (auto)
245,245,32.8,4,78.0,52.00,1985.0,19.4,78,3,mazda glc deluxe
251,251,19.2,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj
250,250,20.2,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia
249,249,19.4,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat
248,248,19.9,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham
247,247,36.1,4,91.0,60.00,1800.0,16.4,78,3,honda civic cvcc
261,261,19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau
244,244,36.1,4,98.0,66.00,1800.0,14.4,78,1,ford fiesta
243,243,43.1,4,90.0,48.00,1985.0,21.5,78,2,volkswagen rabbit custom diesel
260,260,18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l
246,246,39.4,4,85.0,70.00,2070.0,18.6,78,3,datsun b210 gx
262,262,17.7,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo)
271,271,23.8,4,151.0,85.00,2855.0,17.6,78,1,oldsmobile starfire sx
278,278,29.5,4,98.0,68.00,2135.0,16.6,78,3,honda accord lx
276,276,16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl
275,275,21.6,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle
274,274,17.0,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl
273,273,20.3,5,131.0,103.0,2830.0,15.9,78,2,audi 5000
272,272,23.9,4,119.0,97.00,2405.0,14.9,78,3,datsun 200-sx
277,277,31.5,4,89.0,71.00,1990.0,14.9,78,2,volkswagen scirocco
270,270,23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo
265,265,30.0,4,98.0,68.00,2155.0,16.5,78,1,chevrolet chevette
269,269,21.1,4,134.0,95.00,2515.0,14.8,78,3,toyota celica gt liftback
264,264,17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe
263,263,18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura
266,266,27.5,4,134.0,95.00,2560.0,14.2,78,3,toyota corona
267,267,27.2,4,119.0,97.00,2300.0,14.7,78,3,datsun 510
268,268,30.9,4,105.0,75.00,2230.0,14.5,78,1,dodge omni
222,222,15.5,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham
227,227,18.5,6,250.0,98.00,3525.0,19.0,77,1,ford granada
226,226,19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom
225,225,20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark
224,224,17.5,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours
223,223,15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham
220,220,17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic
221,221,17.0,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme
228,228,16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj
219,219,33.5,4,85.0,70.00,1945.0,16.8,77,3,datsun f-10 hatchback
217,217,36.0,4,79.0,58.00,1825.0,18.6,77,2,renault 5 gtl
216,216,30.0,4,111.0,80.00,2155.0,14.8,77,1,buick opel isuzu deluxe
215,215,31.5,4,98.0,68.00,2045.0,18.5,77,3,honda accord cvcc
218,218,25.5,4,122.0,96.00,2300.0,15.5,77,1,plymouth arrow gs
230,230,15.5,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba
229,229,15.5,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau
237,237,33.5,4,98.0,83.00,2075.0,15.9,77,1,dodge colt m/m
231,231,16.0,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird
242,242,21.5,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4
241,241,21.5,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i
239,239,30.5,4,97.0,78.00,2190.0,14.1,77,2,volkswagen dasher
238,238,30.0,4,97.0,67.00,1985.0,16.4,77,3,subaru dl
240,240,22.0,6,146.0,97.00,2815.0,14.5,77,3,datsun 810
236,236,30.5,4,98.0,63.00,2051.0,17.0,77,1,chevrolet chevette
235,235,25.5,4,140.0,89.00,2755.0,15.8,77,1,ford mustang ii 2+2
234,234,26.0,4,97.0,75.00,2265.0,18.2,77,3,toyota corolla liftback
233,233,24.5,4,151.0,88.00,2740.0,16.0,77,1,pontiac sunbird coupe
232,232,29.0,4,97.0,78.00,1940.0,14.5,77,2,volkswagen rabbit custom
207,207,13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8
201,201,17.5,6,258.0,95.00,3193.0,17.8,76,1,amc pacer d/l
202,202,29.5,4,97.0,71.00,1825.0,12.2,76,2,volkswagen rabbit
203,203,32.0,4,85.0,70.00,1990.0,17.0,76,3,datsun b-210
204,204,28.0,4,97.0,75.00,2155.0,16.4,76,3,toyota corolla
205,205,26.5,4,140.0,72.00,2565.0,13.6,76,1,ford pinto
206,206,20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245
214,214,13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100
208,208,19.0,4,120.0,88.00,3270.0,21.9,76,2,peugeot 504
209,209,19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii
210,210,16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s
211,211,16.5,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville
212,212,13.0,8,350.0,145.0,4055.0,12.0,76,1,chevy c10
213,213,13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108
199,199,18.0,6,250.0,78.00,3574.0,21.0,76,1,ford granada ghia
200,200,18.5,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj
198,198,20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se
182,182,25.0,4,116.0,81.00,2220.0,16.9,76,2,opel 1900
189,189,14.5,8,351.0,152.0,4215.0,12.8,76,1,ford gran torino
197,197,33.0,4,91.0,53.00,1795.0,17.4,76,3,honda civic
181,181,28.0,4,107.0,86.00,2464.0,15.5,76,2,fiat 131
183,183,25.0,4,140.0,92.00,2572.0,14.9,76,1,capri ii
184,184,26.0,4,98.0,79.00,2255.0,17.7,76,1,dodge colt
185,185,27.0,4,101.0,83.00,2202.0,15.3,76,2,renault 12tl
187,187,16.0,8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham
188,188,15.5,8,304.0,120.0,3962.0,13.9,76,1,amc matador
186,186,17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic
190,190,22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant
191,191,22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova
192,192,24.0,6,200.0,81.00,3012.0,17.6,76,1,ford maverick
193,193,22.5,6,232.0,90.00,3085.0,17.6,76,1,amc hornet
194,194,29.0,4,85.0,52.00,2035.0,22.2,76,1,chevrolet chevette
195,195,24.5,4,98.0,60.00,2164.0,22.1,76,1,chevrolet woody
196,196,29.0,4,90.0,70.00,1937.0,14.2,76,2,vw rabbit
158,158,14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd
164,164,20.0,8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2
163,163,21.0,6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk
162,162,18.0,6,225.0,95.00,3785.0,19.0,75,1,plymouth fury
161,161,15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador
160,160,16.0,6,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu
159,159,17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century
151,151,19.0,6,225.0,95.00,3264.0,16.0,75,1,plymouth valiant custom
156,156,15.0,8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air
155,155,16.0,8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina
154,154,15.0,6,250.0,72.00,3158.0,19.5,75,1,ford maverick
153,153,15.0,6,250.0,72.00,3432.0,21.0,75,1,mercury monarch
152,152,18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova
166,166,29.0,4,97.0,75.00,2171.0,16.0,75,3,toyota corolla
165,165,13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii
157,157,16.0,8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury
167,167,23.0,4,140.0,83.00,2639.0,17.0,75,1,ford pinto
180,180,33.0,4,91.0,53.00,1795.0,17.5,75,3,honda civic cvcc
168,168,20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin
179,179,25.0,4,121.0,115.0,2671.0,13.5,75,2,saab 99le
178,178,22.0,4,121.0,98.00,2945.0,14.5,75,2,volvo 244dl
177,177,23.0,4,120.0,88.00,2957.0,17.0,75,2,peugeot 504
175,175,19.0,6,232.0,90.00,3211.0,17.0,75,1,amc pacer
176,176,23.0,4,115.0,95.00,2694.0,15.0,75,2,audi 100ls
174,174,29.0,4,90.0,70.00,1937.0,14.0,75,2,volkswagen rabbit
173,173,18.0,6,171.0,97.00,2984.0,14.5,75,1,ford pinto
172,172,24.0,4,119.0,97.00,2545.0,17.0,75,3,datsun 710
171,171,25.0,4,90.0,71.00,2223.0,16.5,75,2,volkswagen dasher
170,170,24.0,4,134.0,96.00,2702.0,13.5,75,3,toyota corona
169,169,23.0,4,140.0,78.00,2592.0,18.5,75,1,pontiac astro
130,130,32.0,4,71.0,65.00,1836.0,21.0,74,3,toyota corolla 1200
135,135,16.0,8,302.0,140.0,4141.0,14.0,74,1,ford gran torino
134,134,18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring
133,133,16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador
132,132,16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic
131,131,25.0,4,140.0,75.00,2542.0,17.0,74,1,chevrolet vega
124,124,20.0,6,198.0,95.00,3102.0,16.5,74,1,plymouth duster
129,129,26.0,4,122.0,80.00,2451.0,16.5,74,1,ford pinto
128,128,31.0,4,79.0,67.00,1950.0,19.0,74,3,datsun b210
127,127,15.0,6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova
126,126,19.0,6,232.0,100.0,2901.0,16.0,74,1,amc hornet
125,125,21.0,6,200.0,?,2875.0,17.0,74,1,ford maverick
137,137,14.0,8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw)
136,136,13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw)
140,140,29.0,4,98.0,83.00,2219.0,16.5,74,2,audi fox
138,138,14.0,8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw)
146,146,24.0,4,90.0,75.00,2108.0,15.5,74,2,fiat 128
150,150,31.0,4,79.0,67.00,2000.0,16.0,74,2,fiat x1.9
139,139,14.0,8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw)
148,148,24.0,4,120.0,97.00,2489.0,15.0,74,3,honda civic
147,147,26.0,4,116.0,75.00,2246.0,14.0,74,2,fiat 124 tc
149,149,26.0,4,108.0,93.00,2391.0,15.5,74,3,subaru
145,145,28.0,4,90.0,75.00,2125.0,14.5,74,1,dodge colt
144,144,32.0,4,83.0,61.00,2003.0,19.0,74,3,datsun 710
143,143,31.0,4,76.0,52.00,1649.0,16.5,74,3,toyota corona
142,142,26.0,4,97.0,78.00,2300.0,14.5,74,2,opel manta
141,141,26.0,4,79.0,67.00,1963.0,15.5,74,2,volkswagen dasher
101,101,26.0,4,97.0,46.00,1950.0,21.0,73,2,volkswagen super beetle
100,100,23.0,6,198.0,95.00,2904.0,16.0,73,1,plymouth duster
92,92,14.0,8,318.0,150.0,4237.0,14.5,73,1,plymouth fury gran sedan
98,98,18.0,6,232.0,100.0,2945.0,16.0,73,1,amc hornet
97,97,16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom
96,96,18.0,6,225.0,105.0,3121.0,16.5,73,1,plymouth valiant
95,95,13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham
94,94,12.0,8,455.0,225.0,4951.0,11.0,73,1,buick electra 225 custom
93,93,13.0,8,440.0,215.0,4735.0,11.0,73,1,chrysler new yorker brougham
99,99,18.0,6,250.0,88.00,3021.0,16.5,73,1,ford maverick
91,91,13.0,8,351.0,158.0,4363.0,13.0,73,1,ford ltd
90,90,13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic
89,89,12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham
88,88,15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom
87,87,14.0,8,302.0,137.0,4042.0,14.5,73,1,ford gran torino
86,86,13.0,8,350.0,145.0,3988.0,13.0,73,1,chevrolet malibu
85,85,14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador
84,84,13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350
103,103,12.0,8,400.0,167.0,4906.0,12.5,73,1,ford country
102,102,11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala
107,107,20.0,4,97.0,88.00,2279.0,19.0,73,3,toyota carina
104,104,13.0,8,360.0,170.0,4654.0,13.0,73,1,plymouth custom suburb
115,115,16.0,8,400.0,230.0,4278.0,9.5,73,1,pontiac grand prix
105,105,12.0,8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser
123,123,11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega
122,122,20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii
121,121,24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le
119,119,19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea
118,118,20.0,4,114.0,91.00,2582.0,14.0,73,2,audi 100ls
117,117,24.0,4,116.0,75.00,2158.0,15.5,73,2,opel manta
116,116,29.0,4,68.0,49.00,1867.0,19.5,73,2,fiat 128
120,120,15.0,8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom
114,114,15.0,8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s
109,109,22.0,4,108.0,94.00,2379.0,16.5,73,3,datsun 610
113,113,26.0,4,98.0,90.00,2265.0,15.5,73,2,fiat 124 sport coupe
108,108,21.0,4,140.0,72.00,2401.0,19.5,73,1,chevrolet vega
106,106,18.0,6,232.0,100.0,2789.0,15.0,73,1,amc gremlin
111,111,19.0,4,122.0,85.00,2310.0,18.5,73,1,ford pinto
112,112,21.0,6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6
110,110,18.0,3,70.0,90.00,2124.0,13.5,73,3,maxda rx3
70,70,19.0,3,70.0,97.00,2330.0,13.5,72,3,mazda rx2 coupe
63,63,15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii
68,68,12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale
67,67,13.0,8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom
66,66,11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis
65,65,17.0,8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst
64,64,14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500
61,61,13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala
62,62,14.0,8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina
60,60,21.0,4,122.0,86.00,2226.0,16.5,72,1,ford pinto runabout
58,58,23.0,4,97.0,54.00,2254.0,23.5,72,2,volkswagen type 3
57,57,25.0,4,97.5,80.00,2126.0,17.0,72,1,dodge colt hardtop
56,56,24.0,4,113.0,95.00,2278.0,15.5,72,3,toyota corona hardtop
69,69,13.0,8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal
59,59,20.0,4,140.0,90.00,2408.0,19.5,72,1,chevrolet vega
71,71,15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw)
78,78,26.0,4,96.0,69.00,2189.0,18.0,72,2,renault 12 (sw)
72,72,13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw)
83,83,27.0,4,97.0,88.00,2100.0,16.5,72,3,toyota corolla 1600 (sw)
82,82,28.0,4,98.0,80.00,2164.0,15.0,72,1,dodge colt (sw)
81,81,23.0,4,120.0,97.00,2506.0,14.5,72,3,toyouta corona mark ii (sw)
79,79,22.0,4,122.0,86.00,2395.0,16.0,72,1,ford pinto (sw)
80,80,28.0,4,97.0,92.00,2288.0,17.0,72,3,datsun 510 (sw)
77,77,21.0,4,120.0,87.00,2979.0,19.5,72,2,peugeot 504 (sw)
76,76,22.0,4,121.0,76.00,2511.0,18.0,72,2,volkswagen 411 (sw)
75,75,18.0,4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw)
74,74,14.0,8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw)
73,73,13.0,8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw)
35,35,19.0,6,250.0,88.00,3302.0,15.5,71,1,ford torino 500
40,40,14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii
39,39,14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500
38,38,14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham
37,37,14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala
36,36,18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador
28,28,27.0,4,97.0,88.00,2130.0,14.5,71,3,datsun pl510
34,34,17.0,6,250.0,100.0,3329.0,15.5,71,1,chevrolet chevelle malibu
